date;time;location;operator;flight_tag;aircraft_type;aircraft_reg;cn_ln;accident_type;fatalities;total_crew;dead_names
05/11/1971;02:39;Guatemala City, Guatemala;Aviateca;None;Curtiss C-46A-55-CK;TG-ACA-A;121;Other;5;35;[Isiah Morgun,Mallarie Yule,Denica Nilson,Cambria Torry,Sholom Charley]
05/23/1971;20:00;Near Rijeka, Yugoslavia;Aviogenex (Yugoslavia);130;Tupolev TU-134A;YU-AHZ;1351205;Unknown;78;83;[Dominga Baxter,Lluvia Irv,Bj Gustavus,Lenzy Artemus,Chaim Ariel,Reann Nikolaos,Nyya Maurizio,Marli Clair,Kwan Ignatius,Winston Ulberto,Carrieanne Jermaine,Sonya Haven,Marisa Timmie,Vicky Cosmo,Nina Jordan,Diandria Jordan,Sheryl Marchall,Zaid Brose,Tomer Zed,Lynetta Lothario,Malena Mill,Janalee Bram,Eula Florian,Kristene Hurleigh,Mckenna Aldrich,Nilsa Pip,Carlis Padgett,Opal Jordan,Stepehn Mordy,Adeana Broderic,Vonetta Nevin,Qiana Alexei,Demetri Barton,Keo Felice,Richardson Morse,Dimitri Ailbert,Levelle Rudd,Arifa Brenden,Lashawnta Bern,Amey Kippar,Afaf Jecho,Necole Colin,Savanha Jorge,Farah Alano,Herminia Curran,Jesi Trumaine,Zahira Nikos,Jaclyn Cirilo,Graylin Winston,Celes Normy,Sterling Hogan,Janis Leonard,Kirkland Hugibert,Analaura Sidnee,Georgeann Stanley,Devonda Bennie,Gustaf Falkner,Victoriana Farrel,Danton Howie,Letisha Tammie,Tiffanie Horatius,Loreena Jarib,Rylee Geri,Elly Fidelio,Breeana Cass,Naveen Quintus,Flavio Craggy,Cynthia Hyatt,Megan Tallie,Chidi Westley,Shantrice Everett,Delmer Karney,Kartina Ingmar,Tamitha Sander,Roseanna Cassie,Otavia Nat,Del Marshall,Page Shalom]
05/25/1971;04:26;Santiago, Chile;Aerolineas Flecha Austral;None;Curtiss C-46;	CC-CAZ;50;Unknown;4;4;[Shawn Roderich,Sparkle Briggs,Laurice Stearne,Aide Granthem]
05/28/1971;11:08;Roanoke, Virginia;Private;None;Aero Commander 680E;N601JJ;491-161;Unknown;6;6;[Terrence Justino,Sudeep Norrie,Michele Maximo,Chitara Irwinn,Tyrice Garv,Kellan Sandor]
06/06/1971;17:11;Near Duarte, California;Hughes Airwest  / Military - US Marine Air Corps;706;McDonnell Douglas DC-9-31 / F4-B;N9345/151458;47441/503 / ?;Other;50;51;[Shardai Cesaro,Thaddaeus Ethelred,Maigen Cart,Marisia Ruddy,Heron Nobie,Rickie Rickard,Dany Westleigh,Malari Phillip,Trivia Chaddie,Antonios Borden,Khayyam Loydie,Deon Horst,Kerilyn Farr,Korine Morly,Sai Edmon,Shaunna Eldin,Phoenicia Hugues,Marnie Hardy,Dinelle Bartram,Neelie Chrisy,Johnrobert Josh,Jemarcus Sergent,Travus Adrien,Chetan Derrik,Chamia Lars,Hilaree Ferrel,Elgin Jerrold,Mikenna Rees,Patrick Christie,Taylore Inglebert,Yuri Eugene,Qunisha Wendell,Ryder Torre,Mysha Sheffield,Sharenna Garald,Rolando Martainn,Brigida Reilly,Rembert Myles,Ainslee Tristan,Donavan Isa,Nichelle Major,Rona Paxon,Christophor Toddie,Kelley Tad,Yechiel Rafael,Charisma Euell,Siri Lonny,Brittant Cart,Shaketta Rabi,Lekeith Rey]
06/07/1971;08:49;New Haven, Connecticut;Allegheny Airlines;485;Convair CV-580;N5832;384;Unknown;28;31;[Quanesha Massimiliano,Carline Stanislas,Sharod Ricard,Ella Sam,Tranquilino Johnny,Falecia Grantham,Tenaya El,Tarria Dieter,Tryone Ignace,Dakisha Wallie,Draper Dougie,Sabra Waverly,Brena Tan,Taneeka Johannes,Ondrea Dalli,Tameria Abby,Timekia Clayborn,Genesia Brew,Martavius Duff,Jamera Sherwood,Karlee Jeremie,Minerva Eliot,Callie Christophe,Nellie Kerr,Bradd Leif,Latice Olenolin,Shaindy Ganny,Yasir Courtney]
06/13/1971;13:30;North Pacific Ocean;Military - U.S. Air Force;None;Boeing - EC-135N;61-0331;18238;Unknown;24;24;[Dennie Drake,Eason Esme,Randalyn Shermy,Francesa Ezechiel,Tyshon Leslie,Magnolia Jefferson,Ryanne Fairleigh,Jamil Spenser,Laprecious Dietrich,Tomasina Lauritz,Carmen Emilio,Perez Milty,Shannen Gordy,Kennya Gardy,Andrey Tommy,Betsy Lukas,Meredith Vito,Shaneeka Rupert,Cutter Herbert,Toi Montague,Ludivina Thornton,Shakima Joe,Holland Carolus,Vaughn Arie]
06/17/1971;14:30;Near Arica, Chile;SAVCO;None;Douglas DC-6;CP-926;43043/83;Unknown;6;6;[Aleksander Hobie,Marlisha Rudy,Demonta Guilbert,Wes Thatcher,Dinisha Cal,Gino Stewart]
06/28/1971;18:00;Garberville, California;Shelter Cove Sea Park;None;Douglas DC-3;N90627;4642;Unknown;17;24;[Isaias Red,Roxsana Judas,Eleesha Teddy,Cimberly Titus,Mavis Consalve,Quashon Hewett,Cristinia Wilbur,Reanne Dalli,Tanisha Hilario,Mikah Oswell,Raguel Brockie,Breane Gordy,Jull Rip,Jeromie Gerik,Meshia Ariel,Jeromy Lemmy,Burgandy Errol]
07/03/1971;18:10;Hokkaido, Japan;Toa Domestic Airline (Japan);63;NAMC YS-11A-227;JA8764;2134;Unknown;68;68;[Kodie Archaimbaud,Wilhelmina Laurens,Florentina Piggy,Matthen Vergil,Trenise Jammal,Aerial Worth,Krizia Augustus,Armen Ruddie,Tabithia Gannie,Aquanetta Constantin,Tangee Tore,Tyisha Shay,Orlanda Rollin,Natanya Gerick,Hamilton Ferdinand,Jillien Eugenius,Courtney Quintus,Falan Humfrid,Jazmin Carly,Amberle Merwin,Sheneka Brig,Marvell Garey,Carlotta Sal,Jabriel Bendick,Jazzmen Marchall,Jacquline Sammie,Neville Vincenty,Joshua Weidar,Carlynn Jocko,Marven Fabio,Angela Yul,Avni Jacob,Jawana Bentley,Briseida Sebastiano,Shawnna Marwin,Arthur Skipper,Kileen Nicolais,Demorris Jess,Salma Rockwell,Avelino Pennie,Navin Dill,Mireille Bendicty,Shakesha Abram,Danniella Dana,Lizet Sutton,Daniels Jedediah,Kallan Benjie,Latoshia Burtie,Tameika Reagan,Florentino Garold,Nixon Rorke,Latrice Valentino,Maha Jamill,Jerrie Linoel,Danee Boycey,Jennine Humfrey,Rosalyn Bryce,Britteny Dylan,Chantilly Stavro,Carmelita Graham,Selina Clarence,Bobbyjo Hurlee,Regan Trevar,Seyed Tedman,Dyanne Martino,Elica Tremaine,Devora Gayler,Thersa Cyrill]
07/24/1971;16:46;Near Bamako, Mali;Air Ivoire;None;Douglas DC-3;6V-AAP;20505;Other;6;6;[Yvett Philip,Karaline Bar,Shiri Christopher,Susi Thorin,Oshua Arni,Amer Carleton]
07/25/1971;13:21;Manila, Philippines;Pan American World Airways;None;Boeing 707-321CF;N461PA;None;Unknown;4;4;[Porcsha Reuven,Shaylee Sherlocke,Deidra Ashley,Olusegun Stearn]
07/25/1971;08:35;Near Irkutsk, Russia;Aeroflot;1912;Tupolev TU-104B;CCCP-42405;820202;Other;97;126;[Saxon Hadlee,Tymon Obadiah,Karyl Tremayne,Deloren Fidel,Alese Zeke,Aakash Lorin,Krystina Kennan,Regginald Nappie,Jannet Kayne,Ashira Isidore,Jr Karney,Jenika Rafaellle,Derrion Gamaliel,Carmelia Averell,Alonia Dominique,Iwalani Sutherlan,Rossana Godard,Jazmyn Domenico,Shalane Tracy,Ashwin Lemmy,Sheniece Pierson,Justus Keenan,Antwone Kele,Quantia Milt,Candelario Orran,Keandrea Jaime,Dynisha Ashbey,Naftali Vlad,Starlet Eldridge,Sakina Friedrich,Shariann Godfree,Stanton Stan,Vuong Archy,Tyquan Tiebold,Tenille Gardy,Schyler Pascal,Lawton Iorgos,Orlanda Ezechiel,Kent Sauveur,Corynn Pat,Edgar Conan,Charice Huntington,Mallerie Chet,Reagan Magnum,Traci Farley,Randon Hazel,Jovonna Ellary,Yomaira Ansell,Saisha Paul,Lanita Brant,Tri Ase,Marlen Birch,Calista Raynor,Jerimie Claudianus,Remona Shurlocke,Sharley Arvin,Skyla Clair,Noah Shaine,Drusilla Joaquin,Kaycie Felike,Irais Fonz,Bennett Bartel,Sachin Penny,Jessieca Poul,Tearra Heinrick,Shantaya Gib,Morgen Petey,Catoya Faulkner,Shakenna Ode,Tirrell Lon,Anton Elvyn,Milissa Freeland,Darick Briggs,Hermilo Janek,Sigourney Granville,Audri Dugald,Kamisha Tarrance,Sanjuana Louis,Courtnei Sly,Nikkita Den,Sokhom Travis,Maximiliano Wyndham,Chistina Gawain,Brieana Albert,Melton Etan,Yuki Arne,Skylor Dunc,Akhil Alix,Menachem Natal,Vittoria Ruben,Aviance Tanney,Rinda Antons,Alexandera Gustavus,Sybrina Ryan,Kieonna Malchy,Shandelle Gamaliel,Larie Porty]
07/30/1971;15:00;Near Pau, France;Military - French Air Force;None;Nord 2501 Noratlas;49;None;Other;37;39;[Conrado Chancey,Yolonda Nehemiah,Morgaine Siward,Keondra Tristam,Sheela Allayne,Dynisha Sigfried,Willette Kirby,Sedric Wes,Lester Frasco,Shayvonne Carr,Ebonique Hazel,Mayling Erny,Isabella Zebulon,Lachandra Nickolaus,Elvira Yorker,Hasani Darrin,Isrrael Lynn,Shakara Demetrius,Shiann Cristiano,Raechel Branden,Kyndall Thorndike,Leslie Kincaid,Daielle Matteo,Osama Rodolphe,Marleny Roddy,Denine Sigismundo,Christhoper Davidson,Janneth Roland,Pauline Hubey,Amberdawn Onfroi,Allisyn Michale,Yanique Colet,Viraj Maxwell,Piper Gar,Antwaine Lefty,Shara Levin,Storm Benoit]
07/30/1971;14:00;Near Morioko, Japan;All Nippon Airways /  Japanese Air Force;58;Boeing B-727-281 / Air Force F86F;JA8329 / ?;20436/788;Unknown;163;164;[Marycatherine Jocko,Shawnna Hugo,Moriah Shaughn,Presley Lance,Christiana Jasper,Hamid Weider,Feather Pennie,Carolin Derry,Ayla Xerxes,Winona Fonzie,Asti Luce,Shamarr Giuseppe,Flavio Curtice,Emi Orion,Katryn George,Estevan Sid,Jahanna Teodorico,Hanh Batholomew,Nieshia Kirby,Kristan Gareth,Chadwick Sax,Byanca Griswold,Bree Saunders,Kimberely Tull,Krish Normand,Christipher Say,Lynden Jackie,Rico Garvy,Marty Berty,Chani Rutger,Britteny Franklin,Shekia Davin,Hashim Seumas,Dale Allistir,Huda Tom,Emilie Franklyn,Michaeal Francisco,Trenea Gabriele,Gus Kearney,Shamecca Solomon,Jennise Kinny,Johnson Tabbie,Karolyn Des,Terricka Vick,Juanmanuel Aymer,Lakitha Robin,Lakara Miguel,Katie Stanislaus,Meighan Bernarr,Demond Devlen,Ania Birk,Zvi Reuven,Mustafa Oliviero,Enrica Silvester,Kayti Elroy,Arlen Wayland,Darrow Cole,Colbi Codi,Garold Peyter,Jacilyn Maison,Ace Bancroft,Aurelie Keene,Natausha Alexandros,Zacheriah Brit,Kayln Jakie,Teesha Darcy,Blair Isidoro,Cecillia Currie,Betheny Hinze,Kurt Skylar,Shavondra Arturo,Muhammad Tore,Karime Tomas,Torrence Mateo,Joyceann Andre,Lashunda Sid,Mariko Jacob,Marium Adam,Anedra Calhoun,Arek Zane,Karishma Gerick,Lorelei Gaylor,Xavion Flint,Valencia Zaccaria,Hiran Myrwyn,Kayti Trueman,Akeya Carrol,Kylene Wilfred,Meliss Rodd,Tawni Norton,Major Zeke,Jeron Trumann,Keiko Archambault,Shakeitha Edan,Rocky Antonius,Andria Gardiner,Shaquna Nikolai,Tyrone Wood,Junius Basil,Lekisha Drew,Sada Lorne,Sharmayne Alan,Tesia Bradford,Ayasha Nappy,Hermelinda Enoch,Liba Claudio,Elam Benyamin,Dawson Bram,Lovie Wittie,Timotheus Hadleigh,Carlissa Fabio,Dock Klement,Libbie Brennan,Sarica Micky,Harlon Brew,Kristjan Colet,Brandin Angel,Chantel Baird,Angeline Tabby,Penn Krispin,Tamie Garrott,Alford Bryn,Monroe Abie,Anne Pavlov,Roddrick Wood,Domonick Les,Evelia Cornie,Garett Herbert,Kisa Bobby,Antoine Maison,Cristiana Berkley,Luan Frederico,Robertlee Bar,Billie Alano,Ashlely Chris,Janesha Purcell,Christiopher Gan,Shaheerah Rab,Delwyn Hall,Mimi Hercule,Lorraina Adair,Talin Jeno,Ashland Rourke,Huston Sylvan,Ruddy Ruben,Rekia Brett,Terra Matthew,Teven Orland,Doanld Will,Foua Morrie,Loralei Conway,Annastasia Vasily,Richie Fabe,Ada Lewiss,Ronni Currie,Laquite Hobey,Esme Johnathan,Lao Aldus,Liem Griffy,Yaquelin Nevins,Kammie Clayson,Jael Emmott,Quenesha Weston]
07/30/1971;14:29;San Francisco, California;Pan American World Airways;845;Boeing B-747-121;N747PA;19639/2;Unknown;0;218;[]
08/18/1971;09:40;Near Pegnitz, West Germany;Military - U.S. Army Air Forces;None;Boeing Vertol CH-47A (helicopter);66-19023;None;Unknown;37;37;[Onelia Berk,Keiko Perren,Yang Gran,Roni Seumas,Guy Aylmer,Kaysie Holden,Leighann Coleman,Michela Peter,Modesta Marijn,Letizia Piggy,Deaundre Brook,Yecheskel Avrom,Rui Osborn,Azim Zechariah,Donovan Gay,Karlisa Monte,Kelly Merrel,Thomson Barbabas,Kyeisha Fraser,Ricky Aland,Natalee Bartolemo,Khary Orin,Marquasha Matthias,Danea Earlie,David Francklin,Morgen Zed,Juri Zachary,Tashieka Arley,Jorel Anthony,Tenisa Frants,Jawaan Karlens,Matty Bordy,Abdulla Whitman,Dyna Archambault,Duana Vinson,Kenesha Normand,Jakita Marius]
08/19/1971;20:40;Augusta, Maine;Downeast Airlines;None;Piper PA-31;N595DE;31-422;Hijacked;3;8;[Aziza Elroy,Vahe Vinnie,Jamika Tracey]
08/28/1971;18:52;Off Copenhagen, Denmark;Malev Hungarian Airlines;None;Ilyushin IL-18D;HA-MOC;181992903;Unknown;32;34;[Melena Walton,Traveon Ramon,Arianna Aurthur,Windsor Corbie,Manuela Baxter,Jontay Scarface,Silas Nicolas,Sunny Sim,Keeyana Andros,Rothana Bev,Jameica Mitchael,Montavious Freeman,Rebekka Thatcher,Coralyn Perceval,Vong Brannon,Ashley Heywood,Mendi Emile,Satoya Antonio,Tamica Lonny,Sharica Brady,Venisha Isidro,Justine Benny,Shamon Kit,Aracelia Nevil,Alka Harley,Lutisha Hodge,Rashanda Gay,Damika Wallache,Melynda Rolland,Lyndse Anders,Doyle Wayland,Sharmaine Vladamir]
09/04/1971;11:15;Near Juneau, Alaska;Alaska Airlines;1866;Boeing B-727-193;N2969G;19304/287;Unknown;111;111;[Crystie Boigie,Stephanee Lukas,Quinta Ozzy,Krystian North,Jafar Kermy,West Joaquin,Kaiulani Frederico,Tyara Xavier,Myosha Jermain,Temple Alvy,Terea Edouard,Yessenia Osbert,Taira Tarrance,Monalisa Sandro,Deren Garret,Selma Cristian,Shatina Tabby,Keonta Eldin,Rocheal Morley,Celene Bogart,Terasa Consalve,Smith Mark,Asad Carson,Keylee Alexandr,Maresa Hersh,Kaileen Terrel,Nyomi Brooks,Houa Sascha,Maureen Waylon,Gao Abbot,Artemio Bradley,Laguita Clarke,Domingue Hugues,Emigdio Bradley,Rosemary Hasheem,Jamieson Alexio,Kacia Kendal,Mohsin Bron,Darcell Hasheem,Aliese Berton,Rayce Kilian,Larren Richmound,Christropher Cornell,Calena Laurence,Requel Sean,Etan Toddie,Nickalaus Niccolo,Shant Aland,Robbert Osborne,Yarelis Daryle,Theresia Base,Kelsy Bentlee,Kathia Keefer,Leandrea Alonzo,Evamarie Staffard,Antoya Mark,Shanette Wyatt,Esau Porter,Salena Massimiliano,Lavada Berkley,Shakendra Jodie,Jia Mason,Aloysius Stern,Tiwana Garvey,Sheika Harris,Calle Thorsten,Coty Winston,Esteban Craig,Tarika Tate,Rhawnie Paddie,Gustav Dolph,Demika Alden,Etoya Renard,Murice Bastian,Mickey Ciro,Adelle Spike,Vern Moore,Lotoya Lorin,Davis Cosme,Diana Duncan,Shaneice Oswell,Richele Solomon,Kirsten Zebulen,Carmisha Kirk,Ibraheem Guido,Mitch Erich,Timathy Wyatt,Sharquita Raimondo,Teejay Jonah,Latessa Shelley,Shellina Cletis,Lashika Irvin,Nikisha Thayne,Ajene Aldous,Nitin Zacharias,Lavon Waldon,Carilyn Archibald,Kartik Neel,Edi Bastian,Pablo Ali,Maurilio Zared,Sabra Ravid,Kelsi Niccolo,Terea Tedmund,Edsel Darrick,Quintana Aldis,Teandra Abe,Chika Silvanus,Molli Sargent,Cortni Paddy,Dayle Prentiss]
09/06/1971;18:21;Near Hasloh, Germany;Pan International;112;BAC One-Eleven 515FB;D-ALAR;207;Unknown;22;121;[Keyana Dana,Dyrell Aaron,Andra Giffard,Veda Duke,Korinna Lucias,Shequetta Ogdan,Jennett Davide,Ceasare Aldridge,Rasha Pebrook,Mayur Tobit,Rigo Rawley,Kathreen Morey,Rumaldo Wernher,Durwin Darren,Cobin Gerrie,Ancil Jamey,Tashiana Ruggiero,Keitra Deck,Jarod Avery,Susanne Matteo,Emory Barton,Michaeljohn Arnoldo]
09/16/1971;00:31;Presevo, Russia;Yemen Airlines;None;Douglas DC-3;4W-ABI;9334;Unknown;5;5;[Utopia Augustine,Raynaldo Sherwin,Jacek Harvey,Robinson Jermayne,Shallen Floyd]
09/16/1971;11:43;Kiev, Ukraine, USSR;Malev Hungarian Airlines;None;Tupolev TU-134A;HA-LBD;9350801;Unknown;49;49;[Colene Noe,Renny Charlie,Shira Orlan,Leslieanne Ellary,Malita Halsey,Shellee Jens,Kellie Elliott,Daniels Ferdie,Qasim Silvan,Summers Gonzalo,Capri Roland,Nastacia Bartolomeo,Zandria Halsy,Maryalice Vale,Seng Hardy,Fredrika Sholom,Artemus Silvester,Reo Quentin,Robertson Rossie,Ichael Thorpe,Atom Griffin,Cassidi Sean,Nadean Lemar,Coren Nye,Chitara Saxon,Morrisa Neal,Dexter Franchot,Daisi Virgil,Ace Ibrahim,Agron Frasquito,Chessa Marchall,Nieshia Burl,Diondre Abbott,Kera Gibby,Tel Jarib,Kristiana Leonid,Tyrik Alvan,Aleena Drugi,Deneen Saw,Lamara Adler,Celene Fairlie,Robertson Mano,Dyson Delmer,Ulises Shawn,Felisia Loy,Jina Arman,Corvetta Bond,Tracyann Ignazio,Anrew Normie]
09/17/1971;07:30;Rila mountain, Bulgaria;Balkan Bulgarian Airlines;None;Antonov An-14;LZ-7005;601609;Other;9;9;[Johny Ebenezer,Shahzad Broderic,Katheleen Barclay,Quiana Davie,Leticia Willy,Martrell Noak,Myra Mayor,Dillan Cedric,Terriann Horten]
09/28/1971;12:00;Sena Madureira, Brazil;Cruzeiro do Sul;None;Douglas DC-3;PP-CBV;4977;Unknown;32;32;[Jamal Dionisio,Maryrose Hadlee,Keneta Nevil,Martellis Antonius,Chelcy Geoffrey,Darina Virge,Keiry Georgi,Clarivel Nealy,Dustan Art,Hernando Dieter,Wellington Slade,Linsday Grover,Catherin Randolph,Sheen Maddy,Aspen Kienan,Miguel Sherm,Marico Blair,Darya Gary,Makena Monroe,Earlisha Darby,Jolanta Roman,Megumi Roddy,Kizzie Cornie,Fallon Keenan,Ottis Dorie,Jolanda Lindsay,Brittain Benny,Shawntaya Ody,Debroah Mycah,Nakecia Timmy,Colene Davidson,Adana Tuckie]
10/02/1971;11:10;Near Aarsele, West Vlaanderen, Belgium;British European Airways;706;Vickers Vanguard 951;G-APEC;706;Other;63;63;[Danesa Stanwood,Nidia Reube,Jordann Zacherie,Raj Efrem,Barrie Tome,Adah Kim,Darielle Arvy,Alpha Gayle,Javone Edlin,Jeannete Borden,Deaunte Falkner,Ieasha Ryon,Harlan Johnny,Kawanna Langsdon,Aishia Tye,Elva Sigismund,Leanda Zechariah,Jake Vance,Fernado Yorgos,Shadia Hobard,Athina Harrison,Sherrice Bennie,Staci Lind,Jazlyn Carly,Cleotha Nick,Monifa Brod,Janeth Waylan,Shakeisha Matthieu,Letecia Berne,Sonali Chadd,Tikia Von,Tirzah Chad,Yajaira Cornie,Zubin Whitman,Julieanna Barron,Iraida Barrie,Shealene Mic,Rudie Jeff,Labrian Conway,Lanorris Jaye,Kyndal Davis,Conway Lammond,Quintez Vernen,Hersh Kristoffer,Makoto Haydon,Shamonique Oby,Joseline Salvatore,Evander Kearney,Kyndall Cozmo,Javoris Gale,Hagen Worthy,Tommy Arturo,Cerise Sayer,Karee Darn,Deshay Caz,Noga Allister,Wilhelm Will,Nashae Gabe,Jamari Lin,Lilton Fair,Amiee Zachery,Zachariah Khalil,Quentin Ced]
10/10/1971;20:17;Moscow, Russia;Aeroflot;773;Tupolev TU-104B;CCCP-42490;21603;Hijacked;25;25;[Gerron Gabie,Kricket Carlin,Shambra Wittie,Karenda Sander,Renn Ellwood,Homar Pat,Teena Zedekiah,Frankie Claudell,Vaishali Jammal,Krishonda Rolando,Falen Morey,Ashton Tyler,Tuesday Jermain,Max Arthur,Tri Adamo,Kurstin Lauritz,Teon Davin,Jaymeson Martainn,Jams Rollin,Brendalee Filippo,Marylee Tobe,Myisha Franz,Va Axel,Lavina Damian,Keller Edgard]
10/16/1971;09:45;Colorado City, Arizona;Scenic Airlines;None;Cessna 402;N3250Q;None;Other;10;10;[Jessup Devlen,Martisha Hansiain,Naa Nicola,Veena Alley,Emilyrose Bartholomeo,Torie Orville,Tristina Bartolemo,Dalene Agosto,Taron Ingamar,Dishawn Burg]
10/17/1971;02:54;San Vicente del Caguan, Colombia;Aerolineas TAO;None;Douglas C-47A;HK- 595;19348;Other;19;21;[Rachana Carolus,Tatia Thorin,Azia Vanya,Faryn Brad,Ingrid Darby,Magdalena Rawley,Chrisandra Halsy,Shaan Dunn,Stevyn Shermy,Kaia Dewey,Mykel Wakefield,Ginette Perice,Cassee Lance,Lacia Sollie,Purnell Ivar,Dalila Omar,Amandeep Colet,Candace Cesaro,Cary Salmon]
10/21/1971;11:20;Peoria, Illinois;Chicago and Southern Airlines;None;Beech E18S;N51CS;BA-211;Unknown;16;16;[Sloan Briano,Tejuan Kristofer,Thara Bruis,Myrtle Stirling,Jennis Niels,Marcelina Jabez,Eduard Burke,Randall Murvyn,Son Pasquale,Quang Lazaro,Jeremie Kelbee,Jaimie Rochester,Keysha Luther,Melba Fran,Emy Ebenezer,Jermond Corbet]
10/23/1971;19:16;Near Qui Nhon, South Vietnam;Military - Vietnamese Air Force;None;Douglas C-47;None;None;Unknown;22;23;[Tylor Kerby,Arvind Paddy,Keller Ole,Ruchi Gian,Allyn Iggie,Durand Drew,Malak Gery,Jaklyn Hanson,Luvenia Herman,Cheetara Culver,Antoni Bartlet,Renald Neville,Jamilynn Raphael,Ric Bren,Mace Boycie,Russel Vaclav,Natanya Yorke,Lataisha Murry,Asma Elvyn,Jaris Arch,Kadeidra Allard,Queena Des]
10/24/1971;22:15;Bath, Pennsylvania;Monmouth Airways;None;Beechcraft B99;N986MA;U-44;Unknown;4;8;[Memory Berne,Breann Conney,Lianne Deck,Laytona Keelby]
11/09/1971;05:40;Off Livorno, Italy;Military - UK Royal Air Force;None;Lockheed C-130K Hercules;XV216;4243;Hijacked;52;52;[Sarit Haze,Deryl Cross,Christinea Sam,Ronee Davis,Derreck Yorke,Tascha Say,Tavian Brucie,Jocelyn Aguistin,Nan Lamont,Markale Quentin,Lyssa Clevey,Kush Hasheem,Leigh Tristan,Karene Casar,Leela Dylan,Mylinda Stern,Yasemin Alister,Jacky Maurizio,Angelito Rockie,Jovanie Ange,Anya Liam,Takarra Paulie,Mahalia Schuyler,Ryane Garald,Roselyn Gordy,Rumaldo Guilbert,Oscar Tristam,Bernard Dame,Criselda Edmon,Sonny Victor,Mashell Saw,Nyiesha Garwin,Farrel Cobb,Lucky Roth,Shaketha Orion,Shantail Kaleb,Chester Tyrus,Nichoel Glenden,Shiron Elmore,Angelia Rogers,Chaye Thaddus,Albertina Jase,Stephanieann Garrott,Dwaun Shaw,Tye Benyamin,Tomika Odell,Jalil Francklin,Prem Dur,Brittiany Laney,Zeshan Henri,Roshaunda Marlin,Manna Kennith]
11/10/1971;20:03;Off Padang, Indonesia;Merpati Nusantara Airlines;None;Vickers Viscount 828;PK-MVS;448;Other;69;69;[Arifa Sky,Landra Ogdon,Samual Denis,Natilee Cobbie,Konnie Brodie,Dene Ansel,Chatherine Lemmy,Kallan Kermit,Delorean Algernon,Tracie Nahum,Keonte Harvey,Reginia Osbourne,Lenton Chuck,Aubrie Antonius,Roshanna Ivar,Arlie Raddy,Rennie Perkin,Brndon Car,Justino Jordon,Meggen Hermy,Kamee Cullin,Sheyla Melvyn,Maceo Fairfax,Genita Clement,Chet Shaun,Keone Beck,Mareshah Bengt,Dimitrios Jeth,Dannica Nikos,Nicholle Bret,Khou Dav,Cherity Blaine,Satara Lucais,Valarie Rollo,Raechell Jodi,Sigrid Ludovico,Cleofas Kirk,Lianna Nicolai,Susan Deck,Jarom Israel,Fernanda Montague,Dominee Barton,Ereka Cedric,Stephane Giorgio,Bakari Adolphe,Tyechia Niles,Sheyna Ignacio,Correna Stavros,Cybill Andrus,Jarmal Steward,Kinzi Pennie,Ashleigh Lee,Tiearra Galvin,Ronnel Jehu,Dantae Ruben,Lasean Otes,Khoa Shepherd,Marguerite Gabriel,Veonica Lewes,Sasan Mendel,Laquana Bertrando,Leeza Beck,Ita Flinn,Erineo Matthaeus,Jenai Hobie,Phelicia Benji,Tanasia Paxon,January Emanuel,Dorcas Sean]
11/12/1971;11:25;Vinnitsa, Russia;Aeroflot;H-63;Antonov AN-24;CCCP-46809;67302306;Unknown;48;48;[Doron Courtnay,Clark Aharon,Ciaira Worthington,Amari Meir,Lisl North,Ranada Adolphe,Allyson Ellwood,Shayon Dagny,Kiernan Kinny,Khari Klement,Quisha Bernard,Dyana Bevin,Karlee Brit,Moncia Tyrone,Humphrey Maximilien,Sheng Hasty,Meryl Farleigh,Kelcy Lamar,Paula Jake,Everson Torry,Landra Emlen,Elle Neall,Makena Guntar,Aime Gordy,Stephanee Lorne,Lynsie Lindsay,Faisal Marcel,Langdon Sawyer,Iisha Arvy,Leonela Alfons,Janita Garrik,Erkan Giulio,Remington Vinnie,Khalif Jamill,Chaley Hewet,Joseangel Norbert,Jerritt Land,Shekela Tedmund,Zephyr Fidel,Edy Devland,Caitlan Gregg,Cushena Duffy,Sylivia Adolf,Mathew Bendix,Lemarcus Shalom,Kymberly Shannon,Margeaux Ulysses,Landi Chance]
11/21/1971;21:50;Near Penghu Island, Taiwan;China Airlines (Taiwan);None;Sud Aviation SE-210 Caravelle III;B-1852;122;Unknown;25;25;[Junita Walther,Markela Kinnie,Clovis Gay,Milan Harwell,Rhen Zolly,Sharice Ange,Fallen Pedro,Latorie Robinson,Teandra Tabb,Lorraina Norry,Nora Weylin,Elysia Tad,Trichelle Philip,Demian Georges,Janssen Reinold,Parnell Geno,Arif Kippar,Gunther Hugo,Corrie Thorpe,Atiba Jorge,Quennel Chrotoem,Kimani Davin,Merrell Eric,Tiffaney Llewellyn,Eldra Michail]
